127.0.0.1 - - [30/Jun/2024:07:12:39 +0700] "GET / HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/img/brands/github.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/img/brands/bitbucket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/img/brands/dribbble.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/img/brands/dropbox.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/img/brands/slack.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/ctrl/Main.js?bust=1.25.450 HTTP/1.1" 200 1713
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/Main.html?bust=1.25.450 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/ctrl/List.js?bust=1.25.450 HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/ctrl/Ent.js?bust=1.25.450 HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/List.html?bust=1.25.450 HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/List_Typ_Adm.html?bust=1.25.450 HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/Ent.html?bust=1.25.450 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/List_Typ_Agent.html?bust=1.25.450 HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/List_Typ_Recr.html?bust=1.25.450 HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/List_Typ_Cand.html?bust=1.25.450 HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/ctrl/EntBtn.js?bust=1.25.450 HTTP/1.1" 200 1849
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/ctrl/EntHeader.js?bust=1.25.450 HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/ctrl/EntTabs.js?bust=1.25.450 HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/Ent_Btn.html?bust=1.25.450 HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/Ent_Btn_Sub.html?bust=1.25.450 HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [30/Jun/2024:07:13:01 +0700] "GET /www/js/app/group/aut/user/tmpl/Ent_Tabs.html?bust=1.25.450 HTTP/1.1" 200 81
